Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
E09000012,Hackney,"39,629",#,#,"32,321","31,035","31,862","35,597","34,874","35,390","39,016","46,556","44,663","42,089","41,030","39,044","40,241","38,327","39,387","42,457","40,206"
E09000013,Hammersmith and Fulham,"28,555","28,742","30,968","37,855","35,226","37,273","42,492","42,838","46,996","46,620","45,516","42,271","42,531","44,065","42,349","38,677","38,176","40,291","45,080","44,773"
E09000014,Haringey,"21,683",#,"21,748","23,632","24,551","26,260","26,991","29,726","29,032","31,703","30,817","32,517","30,446","31,874","32,408","33,616","33,919","32,799","35,776","34,219"
E09000015,Harrow,"22,824","24,973","26,650","26,303","27,980","29,745","30,339","30,342","31,063","31,746","31,352","32,746","32,342","31,817","31,504","29,957","31,404","34,743","40,703","35,438"
E09000016,Havering,"18,786","19,309","20,002","19,520","21,167","21,505","27,736","28,459","29,418","32,386","30,993","32,068","31,947","31,759","32,758","33,536","33,850","33,025","33,415","34,442"
E09000017,Hillingdon,"28,854","29,755","30,465","30,463","30,875","31,685","32,725","32,034","33,992","37,349","37,424","38,406","39,436","39,849","40,911","42,606","40,529","39,729","41,177","39,573"
E09000018,Hounslow,"24,602","27,632","28,795","32,582","33,322","34,015","35,410","34,303","34,303","39,109","42,241","41,634","41,142","41,688","38,522","41,473","43,037","47,577","42,990","46,461"
E09000019,Islington,"34,180","35,135","44,989","54,080","49,632","40,812","37,231","50,794","53,641","58,261","55,027","49,859","60,068","58,131","56,967","59,007","49,576","52,885","52,689","53,100"
E09000020,Kensington and Chelsea,"28,074","28,782","32,475","35,481","35,812","37,784","33,106","33,350","33,248","37,538","36,101","36,450","38,220","37,192","37,906","36,844","38,848","35,249","38,761","42,122"
E09000021,Kingston upon Thames,"22,967","25,225","27,219","29,702","32,569","30,786","32,985","32,566","33,513","33,180","33,834","33,688","34,459","36,381","35,167","35,833","31,728","34,343","36,301","35,820"
E09000022,Lambeth,"27,930","28,750","30,242","31,630","32,702","37,154","36,464","38,233","41,050","41,396","44,262","43,030","43,657","44,271","43,350","44,566","45,180","41,335","40,749","45,143"
E09000023,Lewisham,"23,283","22,659","24,850","25,909","25,320","26,340","30,443","30,142","29,832","31,399","32,708","32,007","30,506","30,823","30,909","32,256","32,602","34,588","35,536","33,573"
E09000024,Merton,"21,867","22,987","25,615","27,052","30,607","30,224","30,422","29,305","30,731","31,929","30,330","31,666","32,415","32,742","31,960","31,917","32,907","34,199","36,074","36,392"
E09000025,Newham,"20,580","21,609","27,763","24,900","26,461","29,224","28,450","30,873","32,363","34,686","34,487","39,102","36,870","35,465","32,807","33,619","33,127","36,946","38,481","38,035"
E09000026,Redbridge,"22,087","22,421","24,321","24,512","26,086","27,206","30,087","31,319","33,111","32,261","32,648","32,421","31,948","30,371","33,442","33,732","33,182","32,190","32,818","31,969"
E09000027,Richmond upon Thames,"25,832","27,702","29,854","30,680","29,463","30,582","30,298","33,258","37,366","37,760","40,992","39,837","37,122","36,411","36,611","36,975","38,060","38,572","39,401","39,616"
E09000028,Southwark,"26,994","29,101","29,423","30,906","32,241","34,875","36,022","39,075","39,710","40,353","41,548","41,481","48,938","47,611","43,807","40,893","42,316","42,583","43,966","47,936"
E09000029,Sutton,"22,725","26,891","25,235","25,965","27,147","27,747","29,187","28,965","28,531","29,869","29,775","30,375","29,656","29,407","33,223","30,752","32,427","34,818","34,796","32,626"
E09000030,Tower Hamlets,"37,524","47,253","55,045","49,998","55,530","66,095","71,063","62,719","72,749","70,217","62,526","69,029","86,593","64,782","73,376","74,087","67,320","64,345","75,240","69,900"
E09000031,Waltham Forest,"19,888","22,009","23,023","23,817","25,374","25,435","25,800","27,449","27,129","28,814","29,524","30,773","31,926","30,738","31,143","28,426","30,911","30,172","31,045","32,864"
E09000032,Wandsworth,"24,707","26,862","25,861","27,665","29,446","30,740","31,455","32,887","38,209","40,916","41,202","39,318","38,695","35,295","36,917","35,182","37,251","37,651","39,834","44,979"
E09000033,Westminster,"36,167","40,903","41,566","43,576","43,694","46,350","50,430","53,229","52,597","59,836","55,752","56,080","54,049","55,529","51,094","51,099","53,316","53,888","60,071","63,574"
